azimuth,azimuth_stdev,elevation,elevation_stdev,distance,distance_stdev,sequence,sample_index
-67.82388305664062,0.6803236603736877,9.71908950805664,1.5309079885482788,3.942258596420288,0,9170,0
-67.59527587890625,0.5446642637252808,9.15391445159912,1.2925324440002441,3.970430612564087,0,9171,1
-67.20547485351562,0.40316838026046753,8.30140781402588,1.3017891645431519,4.0171098709106445,0,9172,2
-67.15684509277344,0.43027934432029724,8.36703681945801,1.2909424304962158,4.03796625137329,0,9173,3
-66.70357513427734,0.531113564968109,9.397889137268066,1.2940529584884644,4.072697639465332,0,9174,4
-67.01162719726562,0.551314651966095,9.921555519104004,1.2623395919799805,4.095026969909668,0,9175,5
-66.15786743164062,0.7413321137428284,10.474472999572754,1.1108042001724243,4.11227035522461,0,9176,6
-65.58777618408203,1.009060025215149,11.656327247619629,1.415120005607605,4.149425506591797,0,9177,7
-65.39659118652344,1.1863232851028442,12.517887115478516,1.8635834455490112,4.187281131744385,0,9178,8
-64.56253051757812,1.3715054988861084,14.691885948181152,2.793365001678467,4.226985931396484,0,9179,9
-63.9423599243164,1.5876964330673218,17.3687915802002,4.10184621810913,4.26414155960083,0,9180,10
-63.893218994140625,1.6730515956878662,18.720069885253906,5.11689329147339,4.30129623413086,0,9181,11
-64.2067184448242,1.6416195631027222,19.977659225463867,5.769395351409912,4.32101821899414,0,9182,12
-63.96441650390625,1.5451351404190063,21.356359481811523,6.191258430480957,4.360723495483398,0,9183,13
-63.47496795654297,1.5028221607208252,20.789308547973633,6.1578168869018555,4.37501859664917,0,9184,14
-63.98017120361328,1.150142788887024,20.186830520629883,5.708776950836182,4.390290260314941,0,9185,15
-64.99464416503906,0.9163222908973694,19.528474807739258,4.891024589538574,4.40365743637085,0,9186,16
-64.82968139648438,0.774508535861969,19.007484436035156,3.916012763977051,4.4170241355896,0,9187,17
-63.95896911621094,0.611489474773407,19.63273811340332,2.661910057067871,4.426868438720703,0,9188,18
-62.444061279296875,0.9075311422348022,20.499359130859375,1.5926403999328613,4.467618465423584,0,9189,19
-62.38861083984375,1.115075707435608,20.172161102294922,1.1127574443817139,4.462532997131348,0,9190,20
-63.859703063964844,1.115075707435608,21.57699203491211,1.1230055093765259,4.445157051086426,0,9191,21
-64.57394409179688,1.1488747596740723,23.174880981445312,1.6835535764694214,4.454367637634277,0,9192,22
-64.9908676147461,1.2415515184402466,24.164518356323242,2.29870343208313,4.44576072692871,0,9193,23
-63.89228057861328,1.2235184907913208,23.758670806884766,2.6237070560455322,4.435248851776123,0,9194,24
-62.45362854003906,1.3765435218811035,24.3925952911377,2.920454740524292,4.416797161102295,0,9195,25
-62.024085998535156,1.446996808052063,23.7669677734375,2.8716578483581543,4.3744120597839355,0,9196,26
-62.312225341796875,1.3959922790527344,22.57660675048828,2.468803644180298,4.3451080322265625,0,9197,27
-62.33964538574219,1.4087226390838623,22.98874855041504,2.078704357147217,4.287226676940918,0,9198,28
-62.603363037109375,1.3957313299179077,22.9135570526123,1.7765763998031616,4.224924564361572,0,9199,29
-62.935096740722656,1.3584259748458862,23.898714065551758,1.1804404258728027,4.17899227142334,0,9200,30
-62.61811828613281,1.3406071662902832,24.87975311279297,1.013330340385437,4.119100093841553,0,9201,31
-62.050140380859375,1.2061222791671753,27.074308395385742,1.7807692289352417,4.067257404327393,0,9202,32
-60.48930358886719,1.10225772857666,30.19571304321289,3.2454707622528076,4.0073652267456055,0,9203,33
-59.21772766113281,1.493337631225586,32.61992263793945,4.7284393310546875,3.9696459770202637,0,9204,34
-59.09790802001953,1.8522270917892456,33.78889846801758,5.9034743309021,3.9004273414611816,0,9205,35
-59.2657470703125,2.058962821960449,36.70075607299805,7.224626541137695,3.824651002883911,0,9206,36
-59.519248962402344,2.117905616760254,38.01340866088867,7.992549419403076,3.763108015060425,0,9207,37
-59.49620056152344,2.1060068607330322,40.16254806518555,8.61951732635498,3.716226577758789,0,9208,38
-59.464447021484375,1.9735201597213745,41.28203201293945,8.690107345581055,3.6763854026794434,0,9210,39
-59.28008270263672,1.6442804336547852,41.956661224365234,8.3076171875,3.6000583171844482,0,9211,40
-59.46229553222656,1.16431188583374,42.77041244506836,7.459720611572266,3.5356197357177734,0,9212,41
-57.8410873413086,0.8334336280822754,40.976139068603516,6.0785174369812,3.4666976928710938,0,9213,42
-55.85337829589844,1.5054863691329956,39.50432586669922,4.804474353790283,3.393059015274048,0,9214,43
-54.79383850097656,2.222614049911499,37.93454360961914,3.8041722774505615,3.328620433807373,0,9215,44
-53.270347595214844,3.0222020149230957,36.5829734802246,3.05734658241272,3.2849788665771484,0,9216,45
-50.74327087402344,4.090808868408203,35.92900848388672,3.2282321453094482,3.2590370178222656,0,9217,46
-48.759124755859375,5.0929913520813,34.75977325439453,3.8167712688446045,3.21249508857727,0,9218,47
-46.53202819824219,6.061127662658691,33.698883056640625,4.465462684631348,3.1696903705596924,0,9219,48
-44.27961730957031,6.920165538787842,32.518310546875,4.946634769439697,3.11429762840271,0,9220,49
-42.50001525878906,7.507166862487793,31.70850372314453,5.08643388748169,3.0676181316375732,0,9221,50
-41.04754638671875,7.6110100746154785,33.467926025390625,4.252443313598633,3.0383141040802,0,9222,51
-39.46331787109375,7.60707139968872,33.788734436035156,3.43427038192749,3.0174577236175537,0,9224,52
-37.590240478515625,7.646594524383545,34.95424270629883,2.638894557952881,2.976940631866455,0,9225,53
-36.10455322265625,7.42147970199585,35.88188171386719,2.185547113418579,2.9416117668151855,0,9226,54
-34.41209411621094,7.054442882537842,37.37699890136719,2.380899667739868,2.901906728744507,0,9227,55
-31.373992919921875,7.113277912139893,37.587890625,2.699397087097168,2.8926966190338135,0,9228,56
-28.641098022460938,7.37235403060913,38.4526252746582,3.197136163711548,2.8671882152557373,0,9229,57
-25.238037109375,8.01479721069336,39.7431755065918,3.7493979930877686,2.862428665161133,0,9230,58
-20.8919677734375,9.186431884765625,40.041194915771484,3.899855375289917,2.9031786918640137,0,9231,59
-17.053436279296875,10.480581283569336,39.94771194458008,3.474855899810791,2.8933334350585938,0,9232,60
-12.8548583984375,11.815007209777832,40.8155746459961,3.3118863105773926,2.94148850440979,0,9233,61
-9.635955810546875,12.867132186889648,41.24888610839844,2.9460911750793457,2.9624226093292236,0,9234,62
-8.1258544921875,13.311527252197266,40.0815315246582,2.390760898590088,2.9984130859375,0,9235,63
-5.9129180908203125,13.27532958984375,37.704952239990234,1.9547699689865112,3.0312960147857666,0,9236,64
-3.53643798828125,12.783814430236816,37.008914947509766,2.0376217365264893,3.1722099781036377,0,9237,65
-4.629364013671875,11.541675567626953,34.06770706176758,3.014700412750244,3.2813339233398438,0,9239,66
-5.782073974609375,9.643129348754883,29.17548179626465,5.251847743988037,3.4541211128234863,0,9240,67
-7.644378662109375,7.3410258293151855,25.8068962097168,7.391461372375488,3.454120635986328,0,9241,68
-4.8397369384765625,5.439518928527832,26.92042350769043,8.27534484863281,3.605647325515747,0,9242,69
-0.922332763671875,4.338189125061035,27.9990406036377,8.49210834503174,3.5998611450195312,0,9243,70
2.980743408203125,4.765345096588135,28.396141052246094,8.12426471710205,3.626958131790161,0,9244,71
0.931732177734375,4.73461389541626,24.791690826416016,7.675147533416748,3.7372164726257324,0,9245,72
-0.4533538818359375,4.446625232696533,23.488319396972656,6.983932971954346,3.8128445148468018,0,9246,73
-1.2416229248046875,4.280941486358643,22.994651794433594,6.24255084991455,3.843749523162842,0,9247,74
0.5344696044921875,4.42213010787964,24.242830276489258,4.62574863433838,3.8766324520111084,0,9248,75
2.635223388671875,4.644789695739746,24.673667907714844,3.010310411453247,3.974721670150757,0,9249,76
4.058502197265625,4.654787063598633,23.68509292602539,2.653334617614746,4.052478790283203,0,9250,77
5.763580322265625,3.9498538970947266,24.349781036376953,2.6708414554595947,4.090788841247559,0,9251,78
7.85711669921875,3.90728759765625,26.1798210144043,2.5839483737945557,4.200798511505127,0,9252,79
10.134246826171875,4.779192924499512,25.899656295776367,2.2121472358703613,4.278555870056152,0,9253,80
11.658599853515625,5.863373756408691,25.056640625,1.4094948768615723,4.33305549621582,0,9254,81
12.9014892578125,6.625235557556152,25.9057674407959,1.5327856540679932,4.384308815002441,0,9255,82
14.303085327148438,6.950354099273682,26.64569091796875,1.6445914506912231,4.4489288330078125,0,9256,83
18.24371337890625,7.289813041687012,25.8974723815918,1.3701645135879517,4.52668571472168,0,9257,84
20.553207397460938,7.656407356262207,26.20443344116211,1.3301304578781128,4.68605089187622,0,9258,85
21.441238403320312,7.787371635437012,26.556060791015625,1.3515554666519165,4.759002208709717,0,9259,86
23.319366455078125,7.803574085235596,25.687864303588867,0.9594146013259888,5.0407395362854,0,9260,87
26.546295166015625,8.04726314544678,24.437158584594727,0.930588662624359,5.174249172210693,0,9261,88
29.6953125,8.532962799072266,23.85707664489746,1.256183385848999,5.282503604888916,0,9263,89
27.68133544921875,8.200992584228516,21.57569122314453,2.1605257987976074,5.557066440582275,0,9264,90
26.830764770507812,7.421869277954102,19.09464454650879,3.4456233978271484,5.660245895385742,0,9265,91
26.149520874023438,6.231091022491455,17.660358428955078,4.511531829833984,5.8050923347473145,0,9266,92
24.653793334960938,4.627085208892822,16.687515258789062,5.215046405792236,5.98173952102661,0,9267,93
23.923934936523438,3.681623697280884,15.242654800415039,5.900869369506836,6.152512550354004,0,9268,94
24.0474853515625,3.1158719062805176,15.317845344543457,6.0555596351623535,6.2676825523376465,0,9269,95
23.319747924804688,2.7405192852020264,16.2790641784668,5.552883625030518,6.44749355316162,0,9270,96
23.16424560546875,2.76524567604065,16.804759979248047,4.773237705230713,6.625791549682617,0,9271,97
22.572418212890625,2.9823224544525146,18.44925308227539,3.8644750118255615,6.813587188720703,0,9273,98
23.574081420898438,2.22130274772644,17.91530990600586,2.654075860977173,6.9515180587768555,0,9274,99
25.084487915039062,1.7542552947998047,16.79116439819336,1.7583822011947632,7.0825395584106445,0,9275,100
25.422027587890625,1.448506474494934,16.054468154907227,1.4742051362991333,7.339592456817627,0,9276,101
23.646759033203125,1.150142788887024,17.238431930541992,1.4272656440734863,7.518523693084717,0,9277,102
22.13311767578125,1.3112043142318726,18.00979995727539,1.5430446863174438,7.61717987060547,0,9278,103
21.318801879882812,1.6208503246307373,18.636722564697266,1.5238609313964844,7.7506890296936035,0,9279,104
21.95220947265625,1.6968337297439575,16.807571411132812,1.2560746669769287,7.898801803588867,0,9280,105
22.489822387695312,1.7215569019317627,15.774169921875,1.3596177101135254,8.028782844543457,0,9281,106
22.87005615234375,1.7249391078948975,14.812499046325684,1.7312077283859253,8.179798126220703,0,9282,107
23.5869140625,1.716683268547058,14.80198860168457,1.837168574333191,8.26877021789551,0,9283,108
24.181381225585938,1.7584034204483032,13.998215675354004,2.066659927368164,8.39979076385498,0,9284,109
24.919525146484375,1.7274715900421143,14.341493606567383,2.21525239944458,8.55706214904785,0,9285,110
24.268218994140625,1.5081461668014526,13.894265174865723,2.409226655960083,8.690404891967773,0,9286,111
24.304458618164062,1.5727109909057617,13.04761791229248,2.5822370052337646,8.79890251159668,0,9287,112
23.424392700195312,1.496018886566162,13.190781593322754,2.403931140899658,8.92121124267578,0,9288,113
